ID,label
107,neutral
5594,neutral
6997,negative
3984,positive
3111,neutral
4040,negative
3013,negative
6606,positive
4219,positive
8749,neutral
5664,neutral
5369,positive
7495,negative
9884,positive
1851,positive
1123,neutral
3043,positive
3369,neutral
6828,negative
10967,positive
3088,positive
9598,negative
9533,positive
9855,neutral
4209,positive
10935,neutral
7279,negative
4687,negative
6876,positive
4919,negative
10956,neutral
8151,positive
10971,positive
9343,positive
2514,neutral
2908,neutral
5937,positive
5014,positive
5733,positive
8473,positive
10713,neutral
2602,negative
9741,negative
2826,negative
1118,negative
3485,positive
2980,negative
10501,positive
8269,negative
8703,neutral
1722,positive
7233,neutral
6747,negative
3948,neutral
5492,neutral
10729,positive
6438,negative
2820,positive
6461,neutral
10005,neutral
4184,negative
9401,neutral
9623,positive
303,negative
33,negative
3274,negative
1941,positive
9115,positive
9281,positive
3522,positive
8298,neutral
8377,neutral
251,positive
9070,positive
9971,neutral
9731,positive
9438,negative
457,negative
2954,positive
1839,negative
10827,neutral
8499,neutral
9557,neutral
1277,neutral
1145,negative
7505,positive
9285,positive
9350,negative
9781,positive
9954,neutral
10088,positive
3204,negative
5812,neutral
5743,negative
8323,negative
7807,neutral
1178,positive
9724,neutral
1793,positive
4453,negative
4747,positive
673,negative
2724,positive
5421,neutral
8573,positive
6292,negative
6630,positive
7073,positive
2221,neutral
5749,positive
5844,negative
10179,neutral
7770,neutral
1623,neutral
10586,positive
883,neutral
9271,neutral
1617,neutral
2492,positive
4696,negative
6925,neutral
1501,negative
9980,negative
9344,negative
2018,positive
10725,negative
1056,negative
4609,neutral
4779,negative
1142,positive
318,neutral
3651,neutral
8679,negative
6010,positive
9849,neutral
3421,negative
5087,positive
2955,neutral
7581,neutral
6947,positive
1454,positive
10572,positive
3593,positive
5527,positive
4194,positive
4614,negative
1453,neutral
1889,negative
8759,positive
3777,negative
8034,positive
8113,positive
5363,neutral
218,neutral
6531,negative
5171,positive
3254,neutral
1576,negative
518,positive
554,neutral
2592,negative
2836,negative
1208,negative
4684,positive
914,positive
2249,positive
6836,neutral
9699,neutral
5517,positive
5239,neutral
3543,negative
3573,positive
3501,negative
2589,neutral
7601,neutral
9989,neutral
2692,positive
8641,negative
6118,negative
9043,positive
3706,neutral
10587,neutral
4601,positive
9571,positive
304,neutral
9583,positive
856,negative
4782,negative
1688,neutral
35,positive
7478,negative
2310,positive
3286,positive
4464,neutral
9073,positive
8128,positive
10755,neutral
5974,positive
9881,positive
5071,negative
6785,negative
10118,neutral
408,negative
6946,positive
1562,neutral
1509,neutral
95,negative
1512,positive
2412,positive
4705,negative
6428,neutral
7865,negative
6200,positive
10847,positive
9075,positive
10742,neutral
1261,positive
3880,neutral
6253,neutral
9903,neutral
7205,positive
1479,negative
9837,neutral
8159,negative
10033,negative
2109,positive
8741,positive
3997,positive
214,negative
10763,positive
3999,positive
5411,negative
5304,negative
9622,positive
4411,neutral
5616,positive
5874,neutral
651,neutral
2348,negative
101,positive
7407,negative
2907,negative
4813,neutral
8847,negative
6983,neutral
2516,positive
9214,negative
4889,negative
7445,negative
3838,positive
9744,negative
2119,neutral
7334,negative
5176,neutral
6366,neutral
1470,positive
5405,positive
5193,negative
1110,positive
6403,negative
6018,positive
3595,positive
